project,open_issues,total_issues,contributors,months_inactive,label
facebook/react,1109,0,411,0.0,1
tensorflow/tensorflow,3197,0,409,0.0,1
torvalds/linux,3,0,1414257,0.0,1
psf/requests,328,0,401,0.0,1
